audit_id,question_id,task_id,arm,sample_role,original_abd_label,correction_label,sol_label,final_label,selected_review_version,source_record_id,source_file,source_sha256
E0016,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,A,not_in_correction,supported,,,supported,original_abd,E0016,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0017,71fbc5bf-7e2a-415d-86bc-3a948742e904_4_26,D:71fbc5bf-7e2a-415d-86bc-3a948742e904_4_26,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0017,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0018,6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,D,not_in_correction,supported,,,supported,original_abd,E0018,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0019,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_14,D:70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_14,D,not_in_correction,supported,,,supported,original_abd,E0019,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0020,115774b6-534d-444f-b7aa-d1b834eb0ee7_8_13,D:115774b6-534d-444f-b7aa-d1b834eb0ee7_8_13,D,not_in_correction,unsupported,,,unsupported,original_abd,E0020,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0021,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_18,D:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_18,D,control,supported,contradicted,partially_supported,partially_supported,sol_independent_review,S2D563A813DD3,outputs/abd_eval300_disagreement_independent_review_v1/blinded_reviewer_output/blinded_reviews.jsonl,75fdab627ddf165f75133f026d0a6e605e6b838bdcb58912e752a67a0783557f
E0022,db3f7933-dfa0-4678-9d4f-393b628ded45_8_4,B:db3f7933-dfa0-4678-9d4f-393b628ded45_8_4,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0022,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0023,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_31,D:70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_31,D,control,unsupported,contradicted,contradicted,contradicted,sol_independent_review,S14AEA4F0D8C8,outputs/abd_eval300_disagreement_independent_review_v1/blinded_reviewer_output/blinded_reviews.jsonl,75fdab627ddf165f75133f026d0a6e605e6b838bdcb58912e752a67a0783557f
E0024,71fbc5bf-7e2a-415d-86bc-3a948742e904_7_24,A:71fbc5bf-7e2a-415d-86bc-3a948742e904_7_24,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0024,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0025,115774b6-534d-444f-b7aa-d1b834eb0ee7_17_31,D:115774b6-534d-444f-b7aa-d1b834eb0ee7_17_31,D,not_in_correction,supported,,,supported,original_abd,E0025,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0026,819c8af7-851f-434f-ab32-318285bc54b1_5_25,B:819c8af7-851f-434f-ab32-318285bc54b1_5_25,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0026,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0027,db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,D:db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,D,not_in_correction,supported,,,supported,original_abd,E0027,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0028,a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_16,A:a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_16,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0028,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0029,db3f7933-dfa0-4678-9d4f-393b628ded45_7_8,A:db3f7933-dfa0-4678-9d4f-393b628ded45_7_8,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0029,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0030,70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_4,D:70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_4,D,not_in_correction,supported,,,supported,original_abd,E0030,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0031,819c8af7-851f-434f-ab32-318285bc54b1_11_3,B:819c8af7-851f-434f-ab32-318285bc54b1_11_3,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0031,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0032,819c8af7-851f-434f-ab32-318285bc54b1_12_7,D:819c8af7-851f-434f-ab32-318285bc54b1_12_7,D,not_in_correction,supported,,,supported,original_abd,E0032,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0033,d3a0899e-2093-454c-9f65-30087883193a_17_2,A:d3a0899e-2093-454c-9f65-30087883193a_17_2,A,target,unreviewable,partially_supported,,partially_supported,correction,E0033,outputs/abd_eval300_evidence_audit_correction_validation_v1/extracted/corrected_blinded_reviews.jsonl,3ab37d3b323018ba063688790112639cb0053de4a0d1fb0407da2f012d35c991
E0034,41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_2,B:41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_2,B,not_in_correction,supported,,,supported,original_abd,E0034,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0035,d3a0899e-2093-454c-9f65-30087883193a_17_8,A:d3a0899e-2093-454c-9f65-30087883193a_17_8,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0035,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0036,d3a0899e-2093-454c-9f65-30087883193a_12_22,A:d3a0899e-2093-454c-9f65-30087883193a_12_22,A,not_in_correction,supported,,,supported,original_abd,E0036,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0037,a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_2,D:a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_2,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0037,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0038,4572b198-2c1c-4920-bcf0-95fcebe12261_17_25,A:4572b198-2c1c-4920-bcf0-95fcebe12261_17_25,A,not_in_correction,supported,,,supported,original_abd,E0038,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0039,41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_21,B:41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_21,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0039,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0040,7e512589-aa97-41e8-83d3-af2e83e4fd06_17_16,D:7e512589-aa97-41e8-83d3-af2e83e4fd06_17_16,D,not_in_correction,supported,,,supported,original_abd,E0040,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0041,115774b6-534d-444f-b7aa-d1b834eb0ee7_8_13,B:115774b6-534d-444f-b7aa-d1b834eb0ee7_8_13,B,not_in_correction,supported,,,supported,original_abd,E0041,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0042,71fbc5bf-7e2a-415d-86bc-3a948742e904_22_4,B:71fbc5bf-7e2a-415d-86bc-3a948742e904_22_4,B,not_in_correction,supported,,,supported,original_abd,E0042,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0043,70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_5,A:70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_5,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0043,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0044,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_6_7,D:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_6_7,D,not_in_correction,supported,,,supported,original_abd,E0044,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0045,70f2a750-f403-41b8-aabb-480eb3ab4ed4_12_17,D:70f2a750-f403-41b8-aabb-480eb3ab4ed4_12_17,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0045,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0046,115774b6-534d-444f-b7aa-d1b834eb0ee7_2_2,D:115774b6-534d-444f-b7aa-d1b834eb0ee7_2_2,D,target,unreviewable,unsupported,,unsupported,correction,E0046,outputs/abd_eval300_evidence_audit_correction_validation_v1/extracted/corrected_blinded_reviews.jsonl,3ab37d3b323018ba063688790112639cb0053de4a0d1fb0407da2f012d35c991
E0047,7e512589-aa97-41e8-83d3-af2e83e4fd06_7_20,A:7e512589-aa97-41e8-83d3-af2e83e4fd06_7_20,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0047,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0048,7e512589-aa97-41e8-83d3-af2e83e4fd06_3_21,A:7e512589-aa97-41e8-83d3-af2e83e4fd06_3_21,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0048,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0049,819c8af7-851f-434f-ab32-318285bc54b1_8_27,D:819c8af7-851f-434f-ab32-318285bc54b1_8_27,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0049,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0050,71fbc5bf-7e2a-415d-86bc-3a948742e904_6_14,A:71fbc5bf-7e2a-415d-86bc-3a948742e904_6_14,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0050,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0051,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_22_23,B:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_22_23,B,not_in_correction,supported,,,supported,original_abd,E0051,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0052,7e512589-aa97-41e8-83d3-af2e83e4fd06_17_34,A:7e512589-aa97-41e8-83d3-af2e83e4fd06_17_34,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0052,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0053,4572b198-2c1c-4920-bcf0-95fcebe12261_17_29,D:4572b198-2c1c-4920-bcf0-95fcebe12261_17_29,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0053,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0054,7e512589-aa97-41e8-83d3-af2e83e4fd06_11_18,D:7e512589-aa97-41e8-83d3-af2e83e4fd06_11_18,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0054,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0055,71fbc5bf-7e2a-415d-86bc-3a948742e904_17_25,B:71fbc5bf-7e2a-415d-86bc-3a948742e904_17_25,B,not_in_correction,supported,,,supported,original_abd,E0055,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0056,41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_38,A:41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_38,A,target,unreviewable,supported,,supported,correction,E0056,outputs/abd_eval300_evidence_audit_correction_validation_v1/extracted/corrected_blinded_reviews.jsonl,3ab37d3b323018ba063688790112639cb0053de4a0d1fb0407da2f012d35c991
E0057,70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_15,B:70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_15,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0057,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0058,41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_31,B:41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_31,B,not_in_correction,supported,,,supported,original_abd,E0058,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0059,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0059,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0060,41a86310-2cc1-48f9-b5b5-6b495a95fbac_23_8,A:41a86310-2cc1-48f9-b5b5-6b495a95fbac_23_8,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0060,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0061,db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,D:db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,D,control,supported,contradicted,partially_supported,partially_supported,sol_independent_review,SBEF1E46DB527,outputs/abd_eval300_disagreement_independent_review_v1/blinded_reviewer_output/blinded_reviews.jsonl,75fdab627ddf165f75133f026d0a6e605e6b838bdcb58912e752a67a0783557f
E0062,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,B:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0062,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0063,4572b198-2c1c-4920-bcf0-95fcebe12261_4_40,B:4572b198-2c1c-4920-bcf0-95fcebe12261_4_40,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0063,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0064,d3a0899e-2093-454c-9f65-30087883193a_17_20,A:d3a0899e-2093-454c-9f65-30087883193a_17_20,A,target,unreviewable,unsupported,,unsupported,correction,E0064,outputs/abd_eval300_evidence_audit_correction_validation_v1/extracted/corrected_blinded_reviews.jsonl,3ab37d3b323018ba063688790112639cb0053de4a0d1fb0407da2f012d35c991
E0065,4572b198-2c1c-4920-bcf0-95fcebe12261_17_10,B:4572b198-2c1c-4920-bcf0-95fcebe12261_17_10,B,not_in_correction,supported,,,supported,original_abd,E0065,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0066,db3f7933-dfa0-4678-9d4f-393b628ded45_22_24,A:db3f7933-dfa0-4678-9d4f-393b628ded45_22_24,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0066,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0067,7e512589-aa97-41e8-83d3-af2e83e4fd06_3_21,B:7e512589-aa97-41e8-83d3-af2e83e4fd06_3_21,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0067,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0068,115774b6-534d-444f-b7aa-d1b834eb0ee7_1_1,D:115774b6-534d-444f-b7aa-d1b834eb0ee7_1_1,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0068,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0069,6fd90f8d-7a4d-425d-a812-3268db0b0342_8_10,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_10,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0069,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0070,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_15,D:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_15,D,not_in_correction,supported,,,supported,original_abd,E0070,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0071,819c8af7-851f-434f-ab32-318285bc54b1_17_29,D:819c8af7-851f-434f-ab32-318285bc54b1_17_29,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0071,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0072,71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,A:71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,A,control,partially_supported,unsupported,supported,supported,sol_independent_review,S8A3DF3CCABF0,outputs/abd_eval300_disagreement_independent_review_v1/blinded_reviewer_output/blinded_reviews.jsonl,75fdab627ddf165f75133f026d0a6e605e6b838bdcb58912e752a67a0783557f
E0073,70f2a750-f403-41b8-aabb-480eb3ab4ed4_5_19,D:70f2a750-f403-41b8-aabb-480eb3ab4ed4_5_19,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0073,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0074,41a86310-2cc1-48f9-b5b5-6b495a95fbac_6_32,A:41a86310-2cc1-48f9-b5b5-6b495a95fbac_6_32,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0074,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0075,7e512589-aa97-41e8-83d3-af2e83e4fd06_23_28,A:7e512589-aa97-41e8-83d3-af2e83e4fd06_23_28,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0075,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0076,819c8af7-851f-434f-ab32-318285bc54b1_8_1,B:819c8af7-851f-434f-ab32-318285bc54b1_8_1,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0076,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
