question_id,video_id,gold,staged_state,staged_prediction,staged_correct,staged_failure_category,direct_state,direct_prediction,direct_correct,direct_failure_category
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_8,71fbc5bf-7e2a-415d-86bc-3a948742e904,D,terminal_success,D,True,,terminal_success,D,True,
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_19,71fbc5bf-7e2a-415d-86bc-3a948742e904,E,terminal_success,A,False,,terminal_success,B,False,
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_11,71fbc5bf-7e2a-415d-86bc-3a948742e904,E,terminal_success,E,True,,terminal_success,D,False,
71fbc5bf-7e2a-415d-86bc-3a948742e904_6_14,71fbc5bf-7e2a-415d-86bc-3a948742e904,C,terminal_success,C,True,,terminal_success,B,False,
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_20,71fbc5bf-7e2a-415d-86bc-3a948742e904,D,terminal_success,E,False,,terminal_success,D,True,
115774b6-534d-444f-b7aa-d1b834eb0ee7_3_23,115774b6-534d-444f-b7aa-d1b834eb0ee7,D,terminal_success,D,True,,terminal_success,D,True,
115774b6-534d-444f-b7aa-d1b834eb0ee7_4_25,115774b6-534d-444f-b7aa-d1b834eb0ee7,D,terminal_success,D,True,,terminal_success,C,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_3_21,115774b6-534d-444f-b7aa-d1b834eb0ee7,B,terminal_success,D,False,,terminal_success,E,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_1_1,115774b6-534d-444f-b7aa-d1b834eb0ee7,A,terminal_success,D,False,,terminal_success,D,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_17_14,115774b6-534d-444f-b7aa-d1b834eb0ee7,D,terminal_success,E,False,,terminal_success,E,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_2_2,115774b6-534d-444f-b7aa-d1b834eb0ee7,D,terminal_success,E,False,,terminal_success,E,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_4_1,115774b6-534d-444f-b7aa-d1b834eb0ee7,C,terminal_success,B,False,,terminal_success,B,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_7_10,115774b6-534d-444f-b7aa-d1b834eb0ee7,A,terminal_success,C,False,,terminal_success,E,False,
115774b6-534d-444f-b7aa-d1b834eb0ee7_1_3,115774b6-534d-444f-b7aa-d1b834eb0ee7,B,terminal_success,B,True,,terminal_success,E,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_23_28,7e512589-aa97-41e8-83d3-af2e83e4fd06,A,terminal_success,B,False,,terminal_success,B,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_7_22,7e512589-aa97-41e8-83d3-af2e83e4fd06,D,terminal_success,E,False,,terminal_success,C,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_21_19,7e512589-aa97-41e8-83d3-af2e83e4fd06,C,terminal_success,C,True,,terminal_success,C,True,
7e512589-aa97-41e8-83d3-af2e83e4fd06_4_5,7e512589-aa97-41e8-83d3-af2e83e4fd06,B,terminal_success,A,False,,terminal_success,A,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_3_26,7e512589-aa97-41e8-83d3-af2e83e4fd06,C,terminal_success,E,False,,terminal_success,C,True,
7e512589-aa97-41e8-83d3-af2e83e4fd06_17_34,7e512589-aa97-41e8-83d3-af2e83e4fd06,E,terminal_success,D,False,,terminal_success,C,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_6_15,7e512589-aa97-41e8-83d3-af2e83e4fd06,C,terminal_success,E,False,,terminal_success,E,False,
7e512589-aa97-41e8-83d3-af2e83e4fd06_4_3,7e512589-aa97-41e8-83d3-af2e83e4fd06,D,terminal_success,C,False,,terminal_success,A,False,
d3a0899e-2093-454c-9f65-30087883193a_7_11,d3a0899e-2093-454c-9f65-30087883193a,E,terminal_success,C,False,,terminal_success,C,False,
d3a0899e-2093-454c-9f65-30087883193a_17_28,d3a0899e-2093-454c-9f65-30087883193a,A,terminal_success,E,False,,terminal_success,E,False,
d3a0899e-2093-454c-9f65-30087883193a_4_7,d3a0899e-2093-454c-9f65-30087883193a,A,terminal_success,C,False,,terminal_success,C,False,
d3a0899e-2093-454c-9f65-30087883193a_8_21,d3a0899e-2093-454c-9f65-30087883193a,D,terminal_success,D,True,,terminal_success,D,True,
d3a0899e-2093-454c-9f65-30087883193a_17_8,d3a0899e-2093-454c-9f65-30087883193a,A,terminal_success,B,False,,terminal_success,A,True,
d3a0899e-2093-454c-9f65-30087883193a_4_33,d3a0899e-2093-454c-9f65-30087883193a,E,terminal_success,D,False,,terminal_success,E,True,
d3a0899e-2093-454c-9f65-30087883193a_7_29,d3a0899e-2093-454c-9f65-30087883193a,B,terminal_success,E,False,,terminal_success,E,False,
d3a0899e-2093-454c-9f65-30087883193a_2_1,d3a0899e-2093-454c-9f65-30087883193a,B,terminal_success,E,False,,terminal_success,E,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_19,41a86310-2cc1-48f9-b5b5-6b495a95fbac,D,terminal_success,C,False,,terminal_success,B,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_6_32,41a86310-2cc1-48f9-b5b5-6b495a95fbac,D,terminal_success,A,False,,terminal_success,D,True,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_4_25,41a86310-2cc1-48f9-b5b5-6b495a95fbac,E,terminal_success,C,False,,terminal_success,C,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_4,41a86310-2cc1-48f9-b5b5-6b495a95fbac,A,terminal_success,B,False,,terminal_success,A,True,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_21,41a86310-2cc1-48f9-b5b5-6b495a95fbac,A,terminal_success,D,False,,terminal_success,B,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_23_8,41a86310-2cc1-48f9-b5b5-6b495a95fbac,B,terminal_success,C,False,,terminal_success,C,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_13,41a86310-2cc1-48f9-b5b5-6b495a95fbac,C,terminal_success,B,False,,terminal_success,B,False,
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_38,41a86310-2cc1-48f9-b5b5-6b495a95fbac,C,terminal_success,A,False,,terminal_success,A,False,
db3f7933-dfa0-4678-9d4f-393b628ded45_7_8,db3f7933-dfa0-4678-9d4f-393b628ded45,D,terminal_success,A,False,,terminal_success,D,True,
db3f7933-dfa0-4678-9d4f-393b628ded45_7_28,db3f7933-dfa0-4678-9d4f-393b628ded45,C,terminal_success,A,False,,terminal_success,C,True,
db3f7933-dfa0-4678-9d4f-393b628ded45_6_7,db3f7933-dfa0-4678-9d4f-393b628ded45,C,terminal_success,C,True,,terminal_success,D,False,
db3f7933-dfa0-4678-9d4f-393b628ded45_21_27,db3f7933-dfa0-4678-9d4f-393b628ded45,C,terminal_success,B,False,,terminal_success,B,False,
db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,db3f7933-dfa0-4678-9d4f-393b628ded45,B,terminal_success,D,False,,terminal_success,D,False,
db3f7933-dfa0-4678-9d4f-393b628ded45_17_13,db3f7933-dfa0-4678-9d4f-393b628ded45,E,terminal_success,E,True,,terminal_success,E,True,
db3f7933-dfa0-4678-9d4f-393b628ded45_7_23,db3f7933-dfa0-4678-9d4f-393b628ded45,E,terminal_success,A,False,,terminal_success,E,True,
db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,db3f7933-dfa0-4678-9d4f-393b628ded45,E,terminal_failed,,False,legacy_route_failed,terminal_success,D,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_17,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,B,terminal_success,D,False,,terminal_success,D,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_15,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,C,terminal_success,A,False,,terminal_success,A,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_13,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,A,terminal_success,A,True,,terminal_success,B,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_25,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,E,terminal_success,A,False,,terminal_success,A,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,D,terminal_success,C,False,,terminal_success,C,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_7_4,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,D,terminal_success,C,False,,terminal_success,C,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_20,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,A,terminal_success,A,True,,terminal_success,D,False,
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_12,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b,D,terminal_success,C,False,,terminal_success,C,False,
819c8af7-851f-434f-ab32-318285bc54b1_17_29,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,D,True,
819c8af7-851f-434f-ab32-318285bc54b1_8_27,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,D,True,
819c8af7-851f-434f-ab32-318285bc54b1_7_21,819c8af7-851f-434f-ab32-318285bc54b1,E,terminal_success,C,False,,terminal_success,C,False,
819c8af7-851f-434f-ab32-318285bc54b1_7_17,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_failed,,False,legacy_route_failed,terminal_success,C,False,
819c8af7-851f-434f-ab32-318285bc54b1_17_22,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,C,False,
819c8af7-851f-434f-ab32-318285bc54b1_4_19,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,C,False,
819c8af7-851f-434f-ab32-318285bc54b1_17_26,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,D,True,
819c8af7-851f-434f-ab32-318285bc54b1_11_3,819c8af7-851f-434f-ab32-318285bc54b1,D,terminal_success,D,True,,terminal_success,D,True,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_22_12,70f2a750-f403-41b8-aabb-480eb3ab4ed4,D,terminal_success,B,False,,terminal_success,D,True,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_4,70f2a750-f403-41b8-aabb-480eb3ab4ed4,D,terminal_success,E,False,,terminal_success,E,False,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_5,70f2a750-f403-41b8-aabb-480eb3ab4ed4,E,terminal_success,C,False,,terminal_success,E,True,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_22_10,70f2a750-f403-41b8-aabb-480eb3ab4ed4,D,terminal_success,D,True,,terminal_success,D,True,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_20,70f2a750-f403-41b8-aabb-480eb3ab4ed4,A,terminal_success,C,False,,terminal_success,C,False,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_11,70f2a750-f403-41b8-aabb-480eb3ab4ed4,C,terminal_success,B,False,,terminal_success,C,True,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_11_7,70f2a750-f403-41b8-aabb-480eb3ab4ed4,B,terminal_success,E,False,,terminal_success,E,False,
70f2a750-f403-41b8-aabb-480eb3ab4ed4_21_26,70f2a750-f403-41b8-aabb-480eb3ab4ed4,E,terminal_success,E,True,,terminal_success,E,True,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_1,a6d45e95-8dc0-4932-83bf-ec53e265a16a,A,terminal_success,D,False,,terminal_success,E,False,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_21,a6d45e95-8dc0-4932-83bf-ec53e265a16a,E,terminal_success,E,True,,terminal_success,E,True,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_6_24,a6d45e95-8dc0-4932-83bf-ec53e265a16a,A,terminal_success,E,False,,terminal_success,D,False,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_18,a6d45e95-8dc0-4932-83bf-ec53e265a16a,A,terminal_success,C,False,,terminal_success,C,False,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_20,a6d45e95-8dc0-4932-83bf-ec53e265a16a,A,terminal_success,E,False,,terminal_success,E,False,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_4_9,a6d45e95-8dc0-4932-83bf-ec53e265a16a,A,terminal_success,B,False,,terminal_success,E,False,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_12_4,a6d45e95-8dc0-4932-83bf-ec53e265a16a,B,terminal_success,E,False,,terminal_success,B,True,
a6d45e95-8dc0-4932-83bf-ec53e265a16a_18_5,a6d45e95-8dc0-4932-83bf-ec53e265a16a,E,terminal_success,C,False,,terminal_success,C,False,
