question_id,validation_attempt,validation_retry_index,provider_tool_envelope_accepted,scientific_validation_status,scientific_failure_reason,retry_triggered,route_state
70f2a750-f403-41b8-aabb-480eb3ab4ed4_22_12,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_4,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_7_5,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_22_10,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_20,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_4_11,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_11_7,1,0,True,success,,False,terminal_success
70f2a750-f403-41b8-aabb-480eb3ab4ed4_21_26,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_1,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_21,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_6_24,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_18,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_18,2,1,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_20,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_4_9,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_12_4,1,0,True,success,,False,terminal_success
a6d45e95-8dc0-4932-83bf-ec53e265a16a_18_5,1,0,True,success,,False,terminal_success
